Class,Sets,Number of pieces,Bonus text,,,,,,,,Stat Value,Stat name
AM,Annihilator,2 pieces,+53 Willpower,,,,,,,,53,Willpower
AM,Annihilator,3 pieces,+290 Corporeal Resistance,,,,,,,,290,Corporeal Resistance
AM,Annihilator,4 pieces,+1 Path of Left tree Abilities,,,,,,,,1,0
AM,Annihilator,5 pieces,+5% Healing Critical Chance,,,,,,,,5,Healing Critical Chance
AM,Beastlord,3 pieces,+225 Armor,,,,,,,,225,Armor
AM,Beastlord,4 pieces,+60 Willpower,,,,,,,,60,Willpower
AM,Beastlord,5 pieces,+5% Reduced chance to be Disrupted,,,,,,,,5,Reduced Chance to be Disrupted
AM,Beastlord,6 pieces,Caretaker – On Hit: 10% chance to heal defensive target for 235 health.,,,,,,,,0,0
AM,Bloodlord,2 pieces,"+66,0 Wounds",,,,,,,,66,Wounds
AM,Bloodlord,3 pieces,+73 Initiative,,,,,,,,73,Initiative
AM,Bloodlord,4 pieces,Boost II – On Hit: 5% chance to increase critical hit rate by 6% for 9 seconds.,,,,,,,,0,0
AM,Bloodlord,5 pieces,+87 Intelligence,,,,,,,,87,Intelligence
AM,Bloodlord,6 pieces,Focused Affliction – On Hit: 10% chance to increase all damage taken by your target by 4% for 10 seconds.,,,,,,,,0,0
AM,Bloodlord,7 pieces,Surging – On Hit: 10% chance to deal damage to an additional target within 30 feet of the first.,,,,,,,,0,0
AM,Conqueror,2 pieces,+57 Willpower,,,,,,,,57,Willpower
AM,Conqueror,3 pieces,+63 Toughness,,,,,,,,63,Toughness
AM,Conqueror,4 pieces,+69 Wounds,,,,,,,,69,Wounds
AM,Conqueror,5 pieces,"Reactionary – On Defense: 25% chance to increase Parry, Evade and Disrupt by 10% for 10 seconds.",,,,,,,,0,0
AM,Conqueror,6 pieces,+5% Healing Critical Chance,,,,,,,,5,Healing Critical Chance
AM,Dominator,2 pieces,+57 Intelligence,,,,,,,,57,Intelligence
AM,Dominator,3 pieces,+63 Initiative,,,,,,,,63,Initiative
AM,Dominator,4 pieces,+69 Wounds,,,,,,,,69,Wounds
AM,Dominator,5 pieces,Domination – On Hit: 25% chance to steal 100 Toughness from your target for 10 seconds.,,,,,,,,0,0
AM,Dominator,6 pieces,+5% Magic Critical Chance,,,,,,,,5,Magic Critical Chance
AM,Genesis Curative,2 pieces,+37 Willpower,,,,,,,,37,Willpower
AM,Genesis Curative,3 pieces,+3% Reduction in being Critically Hit,,,,,,,,3,Reduction in being Critically Hit
AM,Genesis Curative,4 pieces,+3% Reduced Armor Penetration,,,,,,,,3,Reduced Armor Penetration
AM,Genesis Curative,5 pieces,+3% Healing Critical Chance,,,,,,,,3,Healing Critical Chance
AM,Genesis Scholar,2 pieces,+37 Intelligence,,,,,,,,37,Intelligence
AM,Genesis Scholar,3 pieces,+3% Reduced Chance to be Disrupted,,,,,,,,3,Reduced Chance to be Disrupted
AM,Genesis Scholar,4 pieces,+3% Reduction in being Critically Hit,,,,,,,,3,Reduction in being Critically Hit
AM,Genesis Scholar,5 pieces,+3% Magic Critical Chance,,,,,,,,3,Magic Critical Chance
