Type,Class,Sets,Piece,Armor,Toughness,Initiative,Wounds,Weapon Skill,Strength,Intelligence,Willpower,Ballistic skill,Spiritual Resistance,Elemental Resistance,Corporeal Resistance,Item bonus 1,Item bonus 2,Item bonus 3,Level,Renown Rank,Talisman slot,Special slot,,Helm,Shoulders,Body,Gloves,Belt,Boots,Cloak,"Jewelry
(left)","Jewelry
(right)",Pocket,,Item bonus 1 check,Item bonus 2 check,Item bonus 3 check
Armor,AM,Annihilator,Body,236,0,17,12,0,0,0,30,0,0,0,0,+3 AP Per Second,-,-,35,39,1,0,,,,Annihilator,,,,,,,,,AP Per Second,0,0
Armor,AM,Annihilator,Boots,183,13,0,10,0,0,0,21,0,0,0,0,+2% Dodge,-,-,35,35,1,0,,,,,,,Annihilator,,,,,,Dodge,0,0
Armor,AM,Annihilator,Gloves,183,11,14,9,0,0,0,23,0,0,0,0,-,-,-,35,36,1,0,,,,,Annihilator,,,,,,,,0,0,0
Armor,AM,Annihilator,Helm,212,12,0,13,0,0,0,25,0,0,0,0,+2% Disrupt,-,-,35,38,1,0,,Annihilator,,,,,,,,,,,Disrupt,0,0
Armor,AM,Annihilator,Shoulders,212,0,18,12,0,0,0,25,0,0,0,0,+1% Reduction in being Critically Hit,-,-,35,37,1,0,,,Annihilator,,,,,,,,,,Reduction in being Critically Hit,0,0
Jewelry,AM,Beastlord,BL Jewelry,0,0,0,13,0,0,24,0,0,60,60,64,+1 AP Per Second,-,-,40,0,0,0,,,,,,,,,,,,,AP Per Second,0,0
Armor,AM,Beastlord,Body,225,0,0,30,0,0,15,14,0,30,0,30,-,-,-,40,0,1,0,,,,Beastlord,,,,,,,,,0,0,0
Armor,AM,Beastlord,Cloak,0,0,0,32,0,0,24,0,0,72,84,72,-,-,-,40,0,1,0,,,,,,,,Beastlord,,,,,0,0,0
Armor,AM,Beastlord,Helm,203,0,0,20,0,0,20,12,0,25,0,30,-,-,-,40,0,1,0,,Beastlord,,,,,,,,,,,0,0,0
Pocket,AM,Beastlord,Pocket,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,40,0,0,0,,,,,,,,,,,Beastlord,,0,0,0
Armor,AM,Beastlord,Shoulders,203,0,0,14,0,0,24,14,0,0,30,25,-,-,-,40,0,1,0,,,Beastlord,,,,,,,,,,0,0,0
Armor,AM,Bloodlord,Belt,0,0,17,15,0,0,21,0,0,91,91,91,+3 Morale Per Second,-,-,40,,0,0,,,,,,Bloodlord,,,,,,,Morale Per Second,0,0
Armor,AM,Bloodlord,Body,292,12,19,25,0,0,29,0,0,0,0,0,+1 Morale Per Second,-,-,40,,1,0,,,,Bloodlord,,,,,,,,,Morale Per Second,0,0
Armor,AM,Bloodlord,Boots,221,0,18,10,0,0,27,0,0,0,0,0,+2% Dodge,-,-,40,,1,0,,,,,,,Bloodlord,,,,,,Dodge,0,0
Armor,AM,Bloodlord,Cloak,0,10,15,15,0,0,22,0,0,91,91,91,+24 Magic Power,-,-,40,,0,0,,,,,,,,Bloodlord,,,,,Magic Power,0,0
Armor,AM,Bloodlord,Gloves,221,10,0,15,0,0,26,0,0,0,0,0,-,-,-,40,,1,0,,,,,Bloodlord,,,,,,,,0,0,0
Armor,AM,Bloodlord,Helm,257,14,0,17,0,0,29,0,0,0,0,0,+3% Disrupt,-,-,40,,1,0,,Bloodlord,,,,,,,,,,,Disrupt,0,0
Armor,AM,Bloodlord,Shoulders,257,0,10,21,0,0,27,0,0,0,0,0,+2% Magic Critical Chance,-,-,40,,1,0,,,Bloodlord,,,,,,,,,,Magic Critical Chance,0,0
Jewelry,AM,Bloodmoon,Jewelry,0,10,12,15,0,0,24,0,0,79,78,78,-,-,-,63,0,0,0,,,,,,,,,,,,,0,0,0
Armor,AM,Conqueror,Belt,0,0,12,6,0,0,0,18,0,83,77,83,+36 Healing Power,-,-,40,42,1,0,,,,,,Conqueror,,,,,,,Healing Power,0,0
Armor,AM,Conqueror,Body,255,19,0,13,0,0,0,33,0,0,0,0,+3 AP Per Second,-,-,40,45,1,0,,,,Conqueror,,,,,,,,,AP Per Second,0,0
Armor,AM,Conqueror,Boots,192,0,10,16,0,0,0,14,0,0,0,0,+2% Healing Critical Chance,-,-,40,40,1,0,,,,,,,Conqueror,,,,,,Healing Critical Chance,0,0
Armor,AM,Conqueror,Gloves,192,15,0,8,0,0,0,25,0,0,0,0,+2% Disrupt,-,-,40,41,1,0,,,,,Conqueror,,,,,,,,Disrupt,0,0
